Dte;Barri;AEB;SC;Electors;Votants;Abstencio;Nuls;Votsvalids;Blancs;TriasxBCN;PSC-CP;BCOMU-C;ERC-AM;PP;VOX;CUP-AMUNT;VALENTS;Cs;PACMA;BCNETSTU;EV-AV;EB;NOVAPRIMARIES;PC-LV;FNC;PCTC;AIREs-LaIzquierda;PH;PFiV;UNIDOSSI;SOMI;JES-UEP;PTDCERV;Partitmesvotat
2;6;25;37;870;553;317;7;546;4;138;108;87;90;36;18;26;13;8;7;5;0;2;1;0;1;1;0;0;1;0;0;0;0;TriasxBCN
2;6;25;38;1141;786;355;9;777;11;219;111;168;119;53;24;22;18;7;5;3;5;3;1;2;3;1;1;1;0;0;0;0;0;TriasxBCN
2;6;25;39;1162;709;453;5;704;5;170;131;157;82;52;31;28;14;1;4;13;5;2;4;0;4;0;0;0;0;0;1;0;0;TriasxBCN
2;6;25;40;1041;569;472;4;565;5;109;105;160;56;43;31;22;10;7;1;2;2;4;4;1;1;0;1;0;0;0;0;1;0;BCOMU-C
2;6;26;41;1134;653;481;11;642;7;148;125;140;79;44;31;32;16;1;8;5;2;2;1;0;0;0;0;1;0;0;0;0;0;TriasxBCN
2;6;26;42;1249;794;455;2;792;12;262;131;141;105;58;29;29;1;5;5;4;1;2;3;1;2;0;0;0;0;0;0;1;0;TriasxBCN
2;6;26;43;1033;681;352;3;678;7;190;103;139;91;45;25;26;12;5;9;5;5;3;5;0;1;2;2;0;0;2;1;0;0;TriasxBCN
2;6;26;44;816;497;319;8;489;4;115;66;107;56;55;29;21;12;8;1;5;0;2;2;1;0;0;1;1;0;1;0;2;0;TriasxBCN
2;6;26;45;799;500;299;5;495;5;127;79;111;64;44;18;20;12;3;6;2;3;0;0;0;1;0;0;0;0;0;0;0;0;TriasxBCN
2;6;26;46;1280;778;502;7;771;12;194;112;182;97;62;32;28;17;7;10;6;2;5;0;0;2;1;0;1;0;0;0;0;1;TriasxBCN
2;6;26;47;1300;777;523;10;767;8;199;131;163;103;67;34;25;13;5;3;10;1;0;3;0;1;0;0;0;0;1;0;0;0;TriasxBCN
2;6;26;48;785;480;305;7;473;2;125;74;107;59;42;22;18;14;4;0;1;1;0;1;1;0;0;1;1;0;0;0;0;0;TriasxBCN
2;6;27;49;1221;714;507;4;710;7;158;132;172;87;58;29;26;8;3;4;18;2;2;3;0;1;0;0;0;0;0;0;0;0;BCOMU-C
2;6;27;50;1053;621;432;5;616;8;125;101;154;66;56;42;22;13;7;8;3;4;1;0;0;3;0;0;1;0;0;0;2;0;BCOMU-C
2;6;27;51;1117;663;454;5;658;4;177;111;139;81;52;33;17;14;3;9;7;5;1;3;1;0;1;0;0;0;0;0;0;0;TriasxBCN
2;6;27;52;1139;698;441;6;692;5;185;102;163;72;51;37;32;11;10;5;6;3;2;4;2;1;0;0;0;1;0;0;0;0;TriasxBCN
2;6;27;53;1213;753;460;7;746;7;220;111;169;80;61;35;15;18;6;6;7;1;3;2;2;0;1;0;1;0;1;0;0;0;TriasxBCN
2;6;27;54;1251;843;408;12;831;18;237;122;209;71;51;26;41;16;9;6;7;4;3;3;2;0;2;0;1;1;1;0;1;0;TriasxBCN
2;7;28;55;1271;845;426;11;834;7;264;98;228;88;45;29;34;16;2;6;6;1;4;3;0;0;1;0;0;1;0;0;0;1;TriasxBCN
2;7;28;56;943;597;346;2;595;7;168;77;162;61;34;16;33;12;1;3;8;3;2;4;1;2;1;0;0;0;0;0;0;0;TriasxBCN
2;7;28;57;863;631;232;3;628;8;216;71;156;56;35;23;31;9;10;2;5;1;1;1;0;0;1;1;0;1;0;0;0;0;TriasxBCN
2;7;28;58;1010;680;330;6;674;13;249;80;155;66;31;18;32;8;6;0;8;1;3;0;0;2;1;1;0;0;0;0;0;0;TriasxBCN
2;7;28;59;1123;706;417;7;699;9;243;80;143;65;62;26;27;17;3;4;6;0;4;4;3;1;1;1;0;0;0;0;0;0;TriasxBCN
2;7;28;60;1057;691;366;4;687;9;241;83;123;68;49;27;50;11;10;2;6;0;2;2;1;0;0;2;0;0;0;0;1;0;TriasxBCN
2;7;29;61;864;555;309;9;546;5;162;73;127;58;61;14;20;8;2;5;3;2;3;2;1;0;0;0;0;0;0;0;0;0;TriasxBCN
2;7;29;62;965;677;288;12;665;9;210;101;181;67;36;15;21;6;5;4;0;5;3;0;1;0;1;0;0;0;0;0;0;0;TriasxBCN
2;7;29;63;812;574;238;3;571;4;202;67;96;62;60;34;18;5;7;3;3;2;0;3;1;2;2;0;0;0;0;0;0;0;TriasxBCN
2;7;29;64;859;626;233;5;621;16;243;77;132;44;54;20;9;9;4;5;4;1;0;2;0;0;0;1;0;0;0;0;0;0;TriasxBCN
2;7;29;65;1162;775;387;4;771;15;234;102;213;69;40;37;24;20;3;4;5;3;0;1;0;0;0;0;0;0;1;0;0;0;TriasxBCN
2;7;30;66;1224;810;414;11;799;6;228;115;169;117;46;33;29;10;10;11;9;5;4;4;1;1;0;0;0;1;0;0;0;0;TriasxBCN
2;7;30;67;1006;657;349;4;653;10;163;92;171;74;45;26;35;6;10;6;3;4;1;3;2;0;1;0;0;0;1;0;0;0;BCOMU-C
2;7;30;68;1064;721;343;2;719;2;208;85;189;76;58;25;28;16;7;5;6;1;4;6;2;0;0;0;0;0;1;0;0;0;TriasxBCN
2;7;30;69;903;638;265;2;636;6;192;96;135;60;66;26;23;12;9;4;4;0;2;1;0;0;0;0;0;0;0;0;0;0;TriasxBCN
2;7;31;70;805;549;256;3;546;7;163;67;136;47;53;13;26;11;3;6;9;2;1;0;2;0;0;0;0;0;0;0;0;0;TriasxBCN
2;7;31;71;1114;822;292;9;813;5;283;95;191;57;71;28;34;21;9;5;4;4;2;1;2;0;0;1;0;0;0;0;0;0;TriasxBCN
2;7;31;72;836;582;254;1;581;10;206;81;130;38;58;25;6;16;4;2;2;0;1;1;0;0;1;0;0;0;0;0;0;0;TriasxBCN
2;7;32;73;1050;638;412;5;633;8;192;76;180;53;48;18;27;11;6;6;4;0;0;2;0;1;0;1;0;0;0;0;0;0;TriasxBCN
2;7;32;74;725;471;254;5;466;1;126;74;125;34;31;23;15;14;3;2;4;2;1;9;0;0;0;1;0;0;0;1;0;0;TriasxBCN
2;7;32;75;747;489;258;6;483;7;146;63;123;46;33;18;20;6;5;2;6;1;1;6;0;0;0;0;0;0;0;0;0;0;TriasxBCN
2;7;32;76;1007;666;341;10;656;7;257;81;147;63;45;16;13;8;7;2;5;2;2;1;0;0;0;0;0;0;0;0;0;0;TriasxBCN
2;7;33;77;900;520;380;4;516;2;171;72;96;44;61;23;13;15;9;5;1;0;0;0;0;0;2;2;0;0;0;0;0;0;TriasxBCN
2;7;34;78;809;502;307;1;501;4;174;74;96;30;56;23;11;12;9;0;5;1;0;1;1;0;1;0;0;0;1;1;0;1;TriasxBCN
2;7;34;79;786;492;294;0;492;2;175;71;97;34;49;31;12;9;1;0;5;0;2;1;0;1;0;0;0;0;0;0;2;0;TriasxBCN
2;7;35;80;931;597;334;5;592;2;196;109;116;26;61;23;19;12;6;1;6;3;2;5;0;1;1;0;2;1;0;0;0;0;TriasxBCN
2;7;35;81;1315;922;393;6;916;14;309;121;177;59;112;40;20;30;7;7;15;0;1;1;0;1;0;1;0;0;1;0;0;0;TriasxBCN
2;7;36;82;592;360;232;3;357;3;110;51;59;28;40;15;9;22;8;1;3;3;1;1;1;2;0;0;0;0;0;0;0;0;TriasxBCN
2;7;36;83;1167;768;399;2;766;3;310;100;120;52;82;44;11;26;7;2;3;3;0;1;1;0;0;0;0;0;0;0;1;0;TriasxBCN
2;8;37;84;1325;848;477;4;844;13;306;99;168;70;55;44;39;21;11;6;7;1;0;2;0;0;0;0;0;1;0;0;1;0;TriasxBCN
2;8;37;85;907;587;320;3;584;4;178;96;114;49;61;21;18;17;9;2;6;1;1;4;0;2;1;0;0;0;0;0;0;0;TriasxBCN
2;8;37;86;904;631;273;3;628;5;223;108;108;33;60;33;15;22;7;3;4;2;1;2;0;0;0;1;0;0;0;0;0;1;TriasxBCN
2;8;37;87;952;659;293;5;654;10;195;94;134;64;56;21;27;22;7;3;5;4;3;6;1;1;0;0;1;0;0;0;0;0;TriasxBCN
